Method,Time (s),Displacement x (in),Velocity v (in/s),Acceleration a (in/sÂ²),Effective Force F_eff (kips)
average,0.0,0.0,0.0,-96.5225,-12.5
average,0.01,-0.004584737417970747,-0.43433498359414935,9.655503281170127,-12.5
average,0.02,-0.010758615978209552,-0.8487182448594625,-92.53215553423274,-12.5
average,0.03,-0.0232483910459131,-1.1865759910100833,24.96060630410858,-12.5
average,0.04,-0.035981817939898506,-1.4849124193075407,-84.62789196360006,-12.5
average,0.05,-0.0539658069755986,-1.688745928014478,43.8611902222126,-12.5
linear,0.0,0.0,0.0,-96.5225,-12.5
linear,0.01,-0.004664210162629274,-0.43403804878878227,9.714890242243541,-12.5
linear,0.02,-0.010070670320613167,-0.8510108522400385,-93.10945093249478,-12.5
linear,0.03,-0.02281545455275457,-1.190319055837396,25.247810213023286,-12.5
linear,0.04,-0.03488491921816266,-1.492679390077868,-85.7198770611177,-12.5
linear,0.05,-0.05335467587432025,-1.6983694460803633,44.58186586061868,-12.5
wilson,0.0,0.0,0.0,-96.5225,-12.5
wilson,0.01,-0.004102893876695884,-0.8567403315043824,-74.82556630087652,-12.5
wilson,0.02,-0.015961412010265606,-1.5374714700354581,-61.320661405338626,-12.5
wilson,0.03,-0.033818373258957084,-2.0631101057993395,-43.80706574743766,-12.5
wilson,0.04,-0.05601737871025107,-2.4078134291630233,-25.133598925299054,-12.5
wilson,0.05,-0.0807299280434037,-2.5658096827046304,-6.465651783022338,-12.5
central,0.0,0.0,0.0,-96.5225,-12.5
central,0.01,-0.004826125,-0.930498737079948,-89.5772474159896,-12.5
central,0.02,-0.01860997474159896,-1.743182938684368,-72.95959290489442,-12.5
central,0.03,-0.039689783773687363,-2.3670629078733634,-51.8164009329047,-12.5
central,0.04,-0.06595123289906624,-2.7665555195408147,-28.082121400585454,-12.5
central,0.05,-0.09502089416450366,-2.9257774837091826,-3.76227143308816,-12.5
